features,label
"42.39,42.66,42.57,42.73",BUY
"45.97,45.84,45.78,45.67",SELL
"45.39,45.37,45.44,45.36",HOLD
"48.23,48.47,48.43,48.67",BUY
"44.58,44.57,44.67,44.6",HOLD
"55.43,55.4,55.39,55.37",HOLD
"38.51,38.44,38.5,38.45",HOLD
"48.84,48.85,48.89,48.84",HOLD
"50.73,50.61,50.51,50.54",SELL
"56.21,55.97,55.99,55.91",SELL
"51.4,51.34,51.2,51.19",SELL
"36.51,36.48,36.51,36.52",HOLD
"34.73,34.84,35.08,35.19",BUY
"47.98,47.85,47.84,47.74",SELL
"58.9,58.96,59.11,59.15",BUY
"45.68,45.51,45.37,45.26",SELL
"45.16,45.23,45.35,45.59",BUY
"31.31,31.4,31.62,31.78",BUY
"53.44,53.6,53.71,53.82",BUY
"37.19,37.07,37.1,36.88",SELL
"48.61,48.59,48.64,48.67",HOLD
"38.95,39.04,39.22,39.25",BUY
"43.72,43.87,43.88,44.01",BUY
"44.08,44.17,44.22,44.42",BUY
"57.03,57.05,57.12,57.08",HOLD
"32.84,32.87,32.94,33.12",BUY
"38.49,38.48,38.47,38.51",HOLD
"57.29,57.2,57.03,56.95",SELL
"30.81,30.78,30.75,30.76",HOLD
"54.4,54.53,54.51,54.66",BUY
"58.8,58.82,58.83,58.83",HOLD
"32.38,32.35,32.54,32.62",BUY
"35.17,35.31,35.44,35.47",BUY
"34.18,34.25,34.02,33.88",SELL
"50.68,50.46,50.37,50.39",SELL
"52.13,52.11,52.28,52.4",BUY
"48.37,48.43,48.58,48.68",BUY
"57.7,57.69,57.76,57.69",HOLD
"53.56,53.65,53.71,53.8",BUY
"52.91,52.96,52.88,52.93",HOLD
"32.38,32.48,32.65,32.72",BUY
"38.59,38.47,38.38,38.33",SELL
"34.35,34.23,34.17,34.11",SELL
"40.06,40.11,40.2,40.38",BUY
"39.14,39.02,38.81,38.75",SELL
"51.4,51.37,51.48,51.64",BUY
"43.65,43.87,43.92,44.04",BUY
"33.0,33.03,33.06,33.02",HOLD
"53.98,53.94,53.98,53.94",HOLD
"58.9,58.97,59.02,59.27",BUY
"49.66,49.65,49.55,49.44",SELL
"42.84,42.85,42.84,42.86",HOLD
"55.92,55.89,55.95,55.95",HOLD
"34.22,34.22,34.25,34.26",HOLD
"47.73,47.73,47.73,47.72",HOLD
"37.74,37.74,37.78,37.71",HOLD
"53.98,53.84,53.86,53.7",SELL
"31.78,31.94,31.94,32.04",BUY
"35.23,35.23,35.18,35.23",HOLD
"32.73,32.59,32.41,32.36",SELL
"47.94,47.8,47.82,47.71",SELL
"58.01,57.93,58.0,57.91",HOLD
"37.32,37.3,37.36,37.3",HOLD
"42.63,42.48,42.38,42.21",SELL
"31.47,31.5,31.41,31.5",HOLD
"31.16,31.04,30.94,30.93",SELL
"47.35,47.18,47.04,47.07",SELL
"47.38,47.44,47.41,47.64",BUY
"32.59,32.53,32.74,32.77",BUY
"53.2,53.24,53.09,52.9",SELL
"51.34,51.28,51.28,51.29",HOLD
"44.77,44.79,44.82,44.75",HOLD
"57.48,57.5,57.5,57.51",HOLD
"47.03,47.05,47.06,47.0",HOLD
"47.5,47.58,47.68,47.84",BUY
"54.63,54.43,54.4,54.29",SELL
"32.19,32.2,31.96,32.01",SELL
"36.51,36.58,36.58,36.5",HOLD
"49.61,49.67,49.52,49.44",SELL
"50.58,50.62,50.52,50.36",SELL
"37.41,37.35,37.39,37.43",HOLD
"53.92,53.88,53.86,53.88",HOLD
"57.09,57.22,57.24,57.4",BUY
"55.92,55.93,56.01,56.19",BUY
"41.78,41.72,41.57,41.63",SELL
"38.68,38.96,38.93,39.08",BUY
"43.08,42.98,42.77,42.66",SELL
"34.54,34.56,34.42,34.3",SELL
"42.79,42.63,42.42,42.35",SELL
"58.28,58.13,58.1,58.02",SELL
"43.52,43.71,43.65,43.85",BUY
"59.33,59.13,59.14,58.99",SELL
"32.8,32.78,32.85,32.83",HOLD
"57.96,57.93,57.97,57.92",HOLD
"44.82,44.91,44.97,44.97",BUY
"31.29,31.43,31.51,31.52",BUY
"40.55,40.5,40.3,40.3",SELL
"33.25,33.37,33.41,33.55",BUY
"40.9,41.0,41.09,41.22",BUY
"41.64,41.57,41.6,41.58",HOLD
